event_id,case_id,activity,timestamp,duration_minutes,user_id,team,application_used,screen_name,event_type,status
E-000000001,C-0000001,Claim Received,2025-11-24 01:19:50.712942300,4.36,U-0075,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000002,C-0000001,Eligibility Check,2025-11-24 02:14:46.361476067,11.0,U-0051,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000003,C-0000001,Document Intake,2025-11-24 03:31:53.546304820,4.86,U-0005,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000004,C-0000001,Document Review,2025-11-24 06:52:48.530699374,54.96,U-0014,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000005,C-0000001,Approval,2025-11-24 12:38:40.637152078,23.72,U-0030,Claims Adjudication,ClaimsCore,approval,Task Completed,Pending
E-000000006,C-0000002,Claim Received,2025-10-01 00:41:44.070356101,2.79,U-0028,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000007,C-0000002,Eligibility Check,2025-10-01 01:35:31.622031569,11.47,U-0016,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000008,C-0000002,Document Intake,2025-10-01 02:59:19.839495139,11.04,U-0086,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000009,C-0000002,Document Review,2025-10-01 03:53:42.790258045,36.11,U-0014,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000010,C-0000002,Medical Necessity Review,2025-10-01 14:30:30.338744309,53.51,U-0077,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000011,C-0000002,Nurse Review,2025-10-02 01:26:07.286687505,70.46,U-0015,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000012,C-0000002,Medical Director Review,2025-10-03 15:26:29.721697783,174.0,U-0088,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000013,C-0000002,Approval,2025-10-03 19:55:20.685507767,5.9,U-0087,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000014,C-0000002,Payment Processing,2025-10-04 07:58:19.638503460,22.85,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000015,C-0000002,Case Closed,2025-10-04 08:35:33.208085121,6.25,U-0056,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000016,C-0000003,Claim Received,2025-07-19 06:36:26.977758053,2.75,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000017,C-0000003,Eligibility Check,2025-07-19 06:56:53.470166239,7.01,U-0089,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000018,C-0000003,Document Intake,2025-07-19 07:27:57.678790616,7.66,U-0075,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000019,C-0000003,Document Review,2025-07-19 09:39:50.335952360,76.42,U-0043,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000020,C-0000003,Medical Necessity Review,2025-07-19 16:29:39.511548012,82.51,U-0034,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000021,C-0000003,Nurse Review,2025-07-20 00:57:48.510672329,46.81,U-0022,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000022,C-0000003,Approval,2025-07-20 01:57:50.274448447,13.21,U-0008,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000023,C-0000003,Payment Processing,2025-07-20 03:57:26.821651788,14.92,U-0100,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000024,C-0000003,Case Closed,2025-07-20 04:14:01.955778718,4.77,U-0087,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000025,C-0000004,Claim Received,2025-07-01 14:18:11.731729422,4.34,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000026,C-0000004,Eligibility Check,2025-07-01 14:27:37.796620044,8.63,U-0051,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000027,C-0000004,Document Intake,2025-07-01 14:58:38.423749845,7.45,U-0018,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000028,C-0000004,Document Review,2025-07-01 18:47:37.295061462,59.08,U-0001,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000029,C-0000004,Approval,2025-07-01 23:00:38.534120875,13.18,U-0092,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000030,C-0000004,Payment Processing,2025-07-02 08:02:44.865827447,22.24,U-0012,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000031,C-0000004,Case Closed,2025-07-02 08:49:30.321657417,6.53,U-0042,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000032,C-0000005,Claim Received,2025-08-07 09:45:23.291845207,3.36,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000033,C-0000005,Eligibility Check,2025-08-07 10:14:03.386040966,8.79,U-0016,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000034,C-0000005,Document Intake,2025-08-07 10:56:29.407111788,9.83,U-0098,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000035,C-0000005,Document Review,2025-08-07 13:19:24.003427655,40.73,U-0073,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000036,C-0000005,Medical Necessity Review,2025-08-07 18:52:02.482837165,75.98,U-0033,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000037,C-0000005,Nurse Review,2025-08-07 22:41:35.692642619,50.38,U-0093,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000038,C-0000005,Approval,2025-08-08 01:54:59.462268922,12.7,U-0030,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000039,C-0000005,Payment Processing,2025-08-08 05:20:03.940859990,14.85,U-0032,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000040,C-0000005,Case Closed,2025-08-08 05:36:13.127136154,2.15,U-0055,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000041,C-0000006,Claim Received,2025-09-17 21:08:05.875932356,5.31,U-0018,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000042,C-0000006,Eligibility Check,2025-09-17 21:45:05.501735618,13.14,U-0091,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000043,C-0000006,Document Intake,2025-09-17 22:09:43.502585076,3.26,U-0099,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000044,C-0000006,Document Review,2025-09-18 01:36:46.350247618,38.05,U-0001,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000045,C-0000006,Approval,2025-09-18 09:04:08.652019663,9.75,U-0049,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000046,C-0000006,Payment Processing,2025-09-18 12:44:58.324092051,13.14,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000047,C-0000006,Case Closed,2025-09-18 13:06:23.812768971,4.97,U-0045,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000048,C-0000007,Claim Received,2025-11-14 01:56:49.302581834,4.68,U-0075,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000049,C-0000007,Eligibility Check,2025-11-14 02:43:26.315346689,11.58,U-0089,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000050,C-0000007,Document Intake,2025-11-14 04:30:49.551517582,14.82,U-0069,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000051,C-0000007,Document Review,2025-11-14 18:44:31.974742882,91.08,U-0003,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000052,C-0000007,Medical Necessity Review,2025-11-15 19:12:36.731451690,55.47,U-0047,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
