feature_name,feature_group,description,available_at_prediction_time,prediction_stage,source_table,uses_future_information,safe_for_sla_prediction,safe_for_remaining_time_prediction,safe_for_early_anomaly_detection,safe_for_retrospective_analysis,notes
claim_type,early_case,Claim type,True,case_start,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
priority,early_case,Priority,True,case_start,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
region,early_case,Region,True,case_start,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
provider_type,early_case,Provider type,True,case_start,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
diagnosis_group,early_case,Diagnosis group,True,case_start,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
procedure_group,early_case,Procedure group,True,case_start,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
current_activity,early_case,Current activity,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
current_team,early_case,Current team,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
event_count,early_case,Event count,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
handoff_count,early_case,Handoff count,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
unique_teams_count,early_case,Unique teams count,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
rework_count,early_case,Rework count,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
provider_clarification_count,early_case,Provider clarification count,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
document_review_duration,early_case,Document review duration,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
medical_review_duration,early_case,Medical review duration,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
queue_wait_time_total,early_case,Queue wait time total,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
elapsed_time_so_far,early_case,Elapsed time so far,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
previous_activity_duration,early_case,Previous activity duration,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
avg_activity_duration,early_case,Avg activity duration,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
max_activity_duration,early_case,Max activity duration,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
missing_document_flag,early_case,Missing document flag,True,first_5_events,cases/events,False,True,True,True,True,Observed no later than the prediction prefix
historical_provider_delay_rate,historical,Historical provider delay rate,True,first_5_events,historical closed cases,False,True,True,True,True,Computed strictly from cases closed before case creation
historical_provider_rework_rate,historical,Historical provider rework rate,True,first_5_events,historical closed cases,False,True,True,True,True,Computed strictly from cases closed before case creation
provider_history_case_count,historical,Provider history case count,True,first_5_events,historical closed cases,False,True,True,True,True,Computed strictly from cases closed before case creation
historical_team_avg_duration,historical,Historical team avg duration,True,first_5_events,historical closed cases,False,True,True,True,True,Computed strictly from cases closed before case creation
team_history_case_count,historical,Team history case count,True,first_5_events,historical closed cases,False,True,True,True,True,Computed strictly from cases closed before case creation
total_duration_hours,post_completion,Final full-case duration,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
actual_sla_breach,post_completion,Observed SLA target,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
sla_breached,post_completion,Observed SLA target,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
final_status,post_completion,Final workflow state,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
completed_at,post_completion,Completion timestamp,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
closed_at,post_completion,Completion timestamp,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
case_end_time,post_completion,Completion timestamp,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
case_end,post_completion,Completion timestamp,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
total_event_count,post_completion,Full-case event count,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
remaining_time_hours,post_completion,Regression target,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
future_activity,post_completion,Activity after prediction prefix,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
future_transition_count,post_completion,Transitions after prediction prefix,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
total_cost,post_completion,Post-completion cost,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
final_event_count,post_completion,Full-case event count,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
final_unique_teams,post_completion,Full-case team count,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
final_manual_minutes,post_completion,Full-case manual effort,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
final_outcome,post_completion,Final workflow outcome,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
outcome,post_completion,Final workflow outcome,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
anomaly_label,post_completion,Retrospective seeded target,False,post_completion,cases/events,True,False,False,False,True,Forbidden for all early/prefix models
